,City,Lat,Lng,Maxtemp,Humidity,Cloudiness,Wind Speed,Country,Date
313,Port-Gentil,-0.7193,8.7815,85.96,66,20,8.05,GA,1651330032
314,Trincomalee,8.5711,81.2335,86.25,75,89,7.38,LK,1651330032
315,Benghazi,32.1167,20.0667,71.76,55,89,19.69,LY,1651330033
316,Biltine,14.5333,20.9167,107.37,5,100,7.96,TD,1651330033
317,Inhambane,-23.865,35.3833,80.58,69,20,11.99,MZ,1651330034
318,Lusambo,-4.9667,23.45,80.65,76,60,2.95,CD,1651330034
319,Kamień Pomorski,53.9685,14.7726,61.16,64,99,9.17,PL,1651330035
320,Ilo,-17.6394,-71.3375,67.06,73,75,6.91,PE,1651330035
321,Sørland,67.667,12.6934,37.2,56,67,3.89,NO,1651330036
322,Hwange,-18.3693,26.5019,82.69,27,0,4.63,ZW,1651330036
323,Shirokiy,49.758,129.523,42.66,77,100,10.89,RU,1651329902
324,Covington,39.0837,-84.5086,63.57,81,40,13.8,US,1651329807
325,Turtas,58.9417,69.1325,36.05,54,42,2.57,RU,1651330037
326,Rio Grande,-32.035,-52.0986,68.11,59,16,6.62,BR,1651330038
327,Bitung,1.4451,125.1824,79.65,85,99,2.62,ID,1651330038
328,São Benedito do Rio Preto,-3.3336,-43.5283,90.68,49,50,4.16,BR,1651330039
329,Sungai Padi,6.0851,101.8766,83.98,94,76,1.48,TH,1651330039
330,Kristiansund,63.1115,7.732,48.25,87,75,12.66,NO,1651330040
331,Vero Beach,27.6386,-80.3973,81.05,69,20,14.97,US,1651329992
332,Shirakamut,40.8606,44.1528,59.32,71,87,4.18,AM,1651330041
333,Henties Bay,-22.116,14.2845,61.99,73,0,12.93,NA,1651330041
334,Alice Springs,-23.7,133.8833,63.95,59,8,10.36,AU,1651329855
335,Belaya Gora,68.5333,146.4167,5.47,99,97,3.76,RU,1651330042
336,Meulaboh,4.1363,96.1285,81.14,79,100,0.69,ID,1651330042
337,Pisco,-13.7,-76.2167,68.02,77,54,4.61,PE,1651330043
338,Makkah al Mukarramah,21.4267,39.8261,91.56,41,5,13.87,SA,1651330043
339,Bonthe,7.5264,-12.505,85.64,65,96,10.2,SL,1651330044
340,Maniitsoq,65.4167,-52.9,23.41,53,14,10.85,GL,1651330044
341,Muros,42.7762,-9.0603,76.68,72,7,5.03,ES,1651329773
342,Dwārka,22.2394,68.9678,84.92,79,0,15.93,IN,1651330045
343,Russell,32.3502,-85.1999,74.97,73,0,5.75,US,1651330045
344,Rosetta,31.4044,30.4164,67.55,80,0,20.2,EG,1651330046
345,Coahuayana Viejo,18.7333,-103.6833,82.69,33,1,2.59,MX,1651329927
346,Kropotkin,45.4375,40.5756,56.61,86,100,12.26,RU,1651330047
347,Sabang,5.8933,95.3214,84.81,73,99,8.23,ID,1651330047
348,Manggar,-2.8833,108.2667,81.01,80,38,1.86,ID,1651330047
349,Turukhansk,65.8167,87.9833,15.28,90,28,2.71,RU,1651330048
350,Griffith,41.5284,-87.4237,61.27,67,100,20.71,US,1651330048
351,Øksfjord,70.2396,22.3479,32.07,80,100,14.79,NO,1651330049
352,Abay,49.6311,72.8539,70.18,32,4,6.6,KZ,1651330049
353,Ambilobe,-13.2,49.05,76.39,89,42,1.07,MG,1651330050
